ModelFullName,WTC,WTG,Designator,ManufacturerCode,AircraftDescription,EngineCount,EngineType
W-10 Tailwind,L,G,TAIL,WITTMAN,LandPlane,1,Piston
Acro 1,L,G,ATAC,AIRCRAFT TECHNOLOGIES,LandPlane,1,Piston
Atlantis,L,G,ATIS,AIRCRAFT TECHNOLOGIES,LandPlane,1,Piston
Avid Flyer,L,G,AVID,YALO,LandPlane,1,Piston
Comet,L,G,SCOM,SKYGEAR,LandPlane,1,Piston
Magnum,L,G,MAGN,AVID,LandPlane,1,Piston
Pup Replica,L,G,SPUP,SOPWITH,LandPlane,1,Piston
Super 18 Turbo Cub,L,G,PA18,YAKIMA AEROSPORT,LandPlane,1,Piston
Skylane,L,G,ALSL,AIRLONY,LandPlane,1,Piston
M-22 SeaMax,L,G,SMAX,AIRMAX,Amphibian,1,Piston
One,L,G,ONE,ONE PRO,LandPlane,1,Piston
Jet Fox,L,G,JFOX,EUROALA,LandPlane,1,Piston
UFM-10 Samba,L,G,UF10,URBAN,LandPlane,1,Piston
S-2,L,G,SLG2,SONACA,LandPlane,1,Piston
Sling 4 TSi,L,G,SLG4,SLING AIRCRAFT,LandPlane,1,Piston
U-6 Beaver,L,G,DHC2,DE HAVILLAND CANADA,LandPlane,1,Piston
UC Otter,L,G,DHC3,DE HAVILLAND CANADA,LandPlane,1,Piston
I-11B Peque,L,G,I11B,AISA,LandPlane,1,Piston
I-115,L,G,I115,AISA,LandPlane,1,Piston
Turbo Star 402,L,G,C02T,SCENIC,LandPlane,2,Turboprop/Turboshaft
Turbo Star 414,L,G,C14T,SCENIC,LandPlane,2,Turboprop/Turboshaft
D-39,L,G,D39,AKAFLIEG DARMSTADT,LandPlane,1,Piston
Mü-23 Saurier,L,G,MU23,AKAFLIEG MUNCHEN,LandPlane,1,Piston
Mü-30 Schlacro,L,G,SCRO,AKAFLIEG MUNCHEN,LandPlane,1,Piston
B,L,G,FNKB,FUNK,LandPlane,1,Piston
G-200,L,G,G200,GILES,LandPlane,1,Piston
G-202,L,G,G202,GILES,LandPlane,1,Piston
CAP-10,L,G,CP10,MUDRY,LandPlane,1,Piston
G-222,L,G,CP22,GILES,LandPlane,1,Piston
CAP-232,L,G,CP23,MUDRY,LandPlane,1,Piston
Moottori-Lerche,L,G,MLER,ALANNE,LandPlane,1,Piston
D-24 MagicONE,L,,D24,ALBAVIATION,LandPlane,1,Piston
TAV-8 Harrier,M,G,HAR,MCDONNELL DOUGLAS,LandPlane,1,Jet
C-27J Spartan,M,E,C27J,ALENIA AERMACCHI,LandPlane,2,Turboprop/Turboshaft
17 Viking,L,G,BL17,BELLANCA,LandPlane,1,Piston
A-211,L,G,A211,ALFA-M,LandPlane,1,Piston
36 Prop-Jet Bonanza,L,G,B36T,TRADEWIND TURBINES,LandPlane,1,Turboprop/Turboshaft
ADV-01 Papango,L,G,PAGO,SAUPER,LandPlane,1,Piston
J-300 Joker,L,G,J300,SAUPER,LandPlane,1,Piston
Savage,L,G,SAVG,ZLIN AVIATION,LandPlane,1,Piston
Choucas,L,G,CHCS,NOIN,LandPlane,1,Piston
RF-3,L,G,RF3,FOURNIER,LandPlane,1,Piston
RF-4,L,G,RF4,SPORTAVIA-PUTZER,LandPlane,1,Piston
J-5 Marco,L,G,JAJ5,MARCO,LandPlane,1,Piston
